hz1,X1,Y1,Z1,hz2,X2,Y2,Z2,hz3,X3,Y3,Z3,hz4,X4,Y4,Z4,hz5,X5,Y5,Z5,hz6,X6,Y6,Z6
,,,,89.25,0.157900795,0.048611625,0.198825085,,,,,89.25,0.921951845,0.157514658,0.195811144,,,,,89.25,0.921951845,0.157514658,0.195811144
,,,,89.5,0.152107661,0.045246444,0.188450285,,,,,89.5,0.879226837,0.154218863,0.239744831,,,,,89.5,0.879226837,0.154218863,0.239744831
,,,,89.75,0.148697486,0.043025946,0.172997213,,,,,89.75,0.930143464,0.145233288,0.251985339,,,,,89.75,0.930143464,0.145233288,0.251985339
,,,,90,0.143001077,0.040806054,0.157466476,,,,,90,0.962123503,0.170328976,0.255830988,,,,,90,0.962123503,0.170328976,0.255830988
,,,,90.25,0.135543737,0.038970971,0.145377179,,,,,90.25,0.885018621,0.123552763,0.294025638,,,,,90.25,0.885018621,0.123552763,0.294025638
,,,,90.5,0.128936692,0.03756547,0.133348953,,,,,90.5,1,0.176384696,0.254026598,,,,,90.5,1,0.176384696,0.254026598
,,,,90.75,0.123503603,0.03590171,0.123459837,,,,,90.75,0.885041906,0.15952302,0.318774197,,,,,90.75,0.885041906,0.15952302,0.318774197
,,,,91,0.118728015,0.034191519,0.116494908,,,,,91,0.985184034,0.173433055,0.302850613,,,,,91,0.985184034,0.173433055,0.302850613
,,,,91.25,0.11495151,0.031966883,0.111060949,,,,,91.25,0.954651296,0.186658212,0.316800838,,,,,91.25,0.954651296,0.186658212,0.316800838
,,,,91.5,0.112032231,0.032128041,0.106064778,,,,,91.5,0.918306489,0.160063122,0.333217688,,,,,91.5,0.918306489,0.160063122,0.333217688
,,,,91.75,0.109966197,0.030851569,0.100669109,,,,,91.75,0.964218475,0.205494763,0.294599842,,,,,91.75,0.964218475,0.205494763,0.294599842
,,,,92,0.108596171,0.028486039,0.098380273,,,,,92,0.799896974,0.172209948,0.346712844,,,,,92,0.799896974,0.172209948,0.346712844
,,,,92.25,0.107314894,0.026270311,0.096858578,,,,,92.25,0.924573298,0.215258738,0.30930571,,,,,92.25,0.924573298,0.215258738,0.30930571
,,,,92.5,0.106309891,0.023783476,0.095715756,,,,,92.5,0.835980232,0.213331293,0.344284152,,,,,92.5,0.835980232,0.213331293,0.344284152
,,,,92.75,0.105883844,0.021282992,0.0937723,,,,,92.75,0.834240302,0.212271155,0.343415833,,,,,92.75,0.834240302,0.212271155,0.343415833
,,,,93,0.105726105,0.018669155,0.092132769,,,,,93,0.81999164,0.241075593,0.3260648,,,,,93,0.81999164,0.241075593,0.3260648
,,,,93.25,0.105666713,0.016391325,0.091711094,,,,,93.25,0.703509103,0.191802177,0.361583207,,,,,93.25,0.703509103,0.191802177,0.361583207
,,,,93.5,0.106124026,0.014089668,0.091233745,,,,,93.5,0.760640045,0.255934046,0.304762425,,,,,93.5,0.760640045,0.255934046,0.304762425
,,,,93.75,0.107482234,0.012070017,0.090641736,,,,,93.75,0.649071581,0.226925173,0.366099032,,,,,93.75,0.649071581,0.226925173,0.366099032
,,,,94,0.10832623,0.010499552,0.089643263,,,,,94,0.682497441,0.253082557,0.348352717,,,,,94,0.682497441,0.253082557,0.348352717
